mos_into_deployment,pdf_resolution,statistic,plottype,value
0,23,mean,meas,0.28018835239167456
0,23,mean,ref,0.27413066216216214
0,23,sd,meas,0.1143623042168843
0,23,sd,ref,0.15029188338114294
0,23,kurtosis,meas,4.383392169955296
0,23,kurtosis,ref,6.590293078335321
0,23,skewness,meas,1.02576892796897
0,23,skewness,ref,1.6352184915186159
0,23,KL,NA,0.2922802078133387
0,23,hellinger,NA,0.23346914758284212
0,23,euclidean,NA,0.19007553999101598
1,18,mean,meas,0.2227740422622622
1,18,mean,ref,0.20464428998505232
1,18,sd,meas,0.1101852803519641
1,18,sd,ref,0.11259246337949042
1,18,kurtosis,meas,3.690229249154809
1,18,kurtosis,ref,9.041467051940083
1,18,skewness,meas,0.38620444546848604
1,18,skewness,ref,2.2480963379407313
1,18,KL,NA,0.5649442623435109
1,18,hellinger,NA,0.3912481192612523
1,18,euclidean,NA,0.37535373377809655
2,68,mean,meas,0.255164519168405
2,68,mean,ref,0.17986114401076717
2,68,sd,meas,0.3034165459740381
2,68,sd,ref,0.08561496415798486
2,68,kurtosis,meas,66.74398227924935
2,68,kurtosis,ref,18.245128611876012
2,68,skewness,meas,7.4106962287374625
2,68,skewness,ref,3.2319217327091074
2,68,KL,NA,0.8283869455684288
2,68,hellinger,NA,0.4626045692722239
2,68,euclidean,NA,0.49478238134726926
3,75,mean,meas,0.17230971694962402
3,75,mean,ref,0.13608377622377624
3,75,sd,meas,0.20301556351341662
3,75,sd,ref,0.048909211009527685
3,75,kurtosis,meas,222.31405212160234
3,75,kurtosis,ref,22.156382050755433
3,75,skewness,meas,13.761208765229043
3,75,skewness,ref,3.9715528665616593
3,75,KL,NA,0.7359373654258192
3,75,hellinger,NA,0.4531260381438007
3,75,euclidean,NA,0.6516164407930285
4,68,mean,meas,0.24856741144433334
4,68,mean,ref,0.11208815468113975
4,68,sd,meas,0.5298306862423928
4,68,sd,ref,0.02649518417301361
4,68,kurtosis,meas,24.036149979413512
4,68,kurtosis,ref,13.190115098980195
4,68,skewness,meas,4.728560776699041
4,68,skewness,ref,2.860713032292381
4,68,KL,NA,0.4066034522039832
4,68,hellinger,NA,0.36969111482947015
4,68,euclidean,NA,0.3711851536854347
5,0,mean,meas,0.1306862611875088
5,0,mean,ref,0.08452632538569425
5,0,sd,meas,NA
5,0,sd,ref,0.025272962602857548
5,0,kurtosis,meas,NA
5,0,kurtosis,ref,35.21031571192064
5,0,skewness,meas,NA
5,0,skewness,ref,4.404391402118029
5,0,KL,NA,NA
5,0,hellinger,NA,NA
5,0,euclidean,NA,NA
6,128,mean,meas,0.10664770891013232
6,128,mean,ref,0.07167197037037037
6,128,sd,meas,0.296902057599682
6,128,sd,ref,0.008235697833952942
6,128,kurtosis,meas,318.0097999860382
6,128,kurtosis,ref,4.6814658456420055
6,128,skewness,meas,16.747508739709733
6,128,skewness,ref,0.6795438188475633
6,128,KL,NA,0.2795375025645722
6,128,hellinger,NA,0.3356960199574402
6,128,euclidean,NA,0.32301757971318124
7,76,mean,meas,0.13517788646350348
7,76,mean,ref,0.1254847972027972
7,76,sd,meas,0.14413311494003994
7,76,sd,ref,0.055181119993212485
7,76,kurtosis,meas,543.5885222348378
7,76,kurtosis,ref,5.355274218869188
7,76,skewness,meas,21.61983972975818
7,76,skewness,ref,1.2260006282948173
7,76,KL,NA,0.0392931281861165
7,76,hellinger,NA,0.1261140399508907
7,76,euclidean,NA,0.09468821663448312
8,17,mean,meas,0.16598630663486597
8,17,mean,ref,0.1689506916426513
8,17,sd,meas,0.08079137965910334
8,17,sd,ref,0.07381137551465286
8,17,kurtosis,meas,6.856399992835443
8,17,kurtosis,ref,19.641203769535547
8,17,skewness,meas,1.0042999568249922
8,17,skewness,ref,3.3187293647101885
8,17,KL,NA,0.1949613013425368
8,17,hellinger,NA,0.2465180917625921
8,17,euclidean,NA,0.23587433088266768
9,18,mean,meas,0.18293922158863904
9,18,mean,ref,0.18455423913043478
9,18,sd,meas,0.09354918654084989
9,18,sd,ref,0.10508707709682301
9,18,kurtosis,meas,4.712782374027141
9,18,kurtosis,ref,9.486915777831452
9,18,skewness,meas,0.7494015207676978
9,18,skewness,ref,2.3340651726719797
9,18,KL,NA,0.35183927351545724
9,18,hellinger,NA,0.2991638478016396
9,18,euclidean,NA,0.36661601361534246
10,22,mean,meas,0.25531488754365594
10,22,mean,ref,0.2553926461038961
10,22,sd,meas,0.1191713713491664
10,22,sd,ref,0.13400056096222135
10,22,kurtosis,meas,5.271601974220981
10,22,kurtosis,ref,8.644161434028327
10,22,skewness,meas,1.0181568331570663
10,22,skewness,ref,1.7903019224945809
10,22,KL,NA,0.19300909993738644
10,22,hellinger,NA,0.21129155854779527
10,22,euclidean,NA,0.16732521471957712
11,30,mean,meas,0.2652705597268716
11,30,mean,ref,0.20774387142857142
11,30,sd,meas,0.1256220491953
11,30,sd,ref,0.11511586074040134
11,30,kurtosis,meas,19.641306073184992
11,30,kurtosis,ref,12.152177642771889
11,30,skewness,meas,2.8557687639338734
11,30,skewness,ref,2.5714378318589577
11,30,KL,NA,0.5057535402758792
11,30,hellinger,NA,0.3269215442627199
11,30,euclidean,NA,0.354818054040015
12,26,mean,meas,0.28193239967232553
12,26,mean,ref,0.28528350140056025
12,26,sd,meas,0.10289627921355668
12,26,sd,ref,0.17181777798680578
12,26,kurtosis,meas,3.8419705956824206
12,26,kurtosis,ref,8.597164037012492
12,26,skewness,meas,0.7381720944707129
12,26,skewness,ref,2.008169972291561
12,26,KL,NA,0.3999031616891223
12,26,hellinger,NA,0.2204684910998539
12,26,euclidean,NA,0.1690273679608426
13,20,mean,meas,0.26717876705624444
13,20,mean,ref,0.25122605919003116
13,20,sd,meas,0.11531085016838126
13,20,sd,ref,0.14269554808602877
13,20,kurtosis,meas,3.2377369921715786
13,20,kurtosis,ref,7.035414563881393
13,20,skewness,meas,-0.637029175189491
13,20,skewness,ref,1.7817271454958996
13,20,KL,NA,0.7561743683059988
13,20,hellinger,NA,0.4022195736774683
13,20,euclidean,NA,0.32485161055217454
14,36,mean,meas,0.22224743206616712
14,36,mean,ref,0.17214674318507892
14,36,sd,meas,0.16826114408823303
14,36,sd,ref,0.09981329761848176
14,36,kurtosis,meas,24.673611004875074
14,36,kurtosis,ref,10.466131759299742
14,36,skewness,meas,3.2110100417509044
14,36,skewness,ref,2.539507103416679
14,36,KL,NA,1.0145118478626267
14,36,hellinger,NA,0.48203039948479076
14,36,euclidean,NA,0.5595075631871537
15,26,mean,meas,0.20443064461796803
15,26,mean,ref,0.15182684813753583
15,26,sd,meas,0.14268927500907258
15,26,sd,ref,0.0507984974340577
15,26,kurtosis,meas,19.80605328290072
15,26,kurtosis,ref,26.20326396549924
15,26,skewness,meas,2.926799186781032
15,26,skewness,ref,3.6555777870528217
15,26,KL,NA,0.9992726559719829
15,26,hellinger,NA,0.5235174740447437
15,26,euclidean,NA,0.5896108071820612
16,8,mean,meas,0.1550869864887794
16,8,mean,ref,0.12414504054054054
16,8,sd,meas,0.0694012534935533
16,8,sd,ref,0.034143973315957095
16,8,kurtosis,meas,2.614918543277022
16,8,kurtosis,ref,14.275455622099878
16,8,skewness,meas,-0.10858593404933208
16,8,skewness,ref,2.433947456164352
16,8,KL,NA,0.48654068512114457
16,8,hellinger,NA,0.39066296282203
